A,B,C,D,Menu_Section,Restaurant_URL,E,F,Region,G,H
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thejollybadgeredgware,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,21.99,Grills,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,10.49,Grills,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,13.99,Grills,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.49,Grills,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,19.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thenavigationenfield,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,17.49,Grills,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.99,Grills,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,11.49,Grills,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.99,Grills,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,16.49,Grills,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,18.49,Steaks,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.99,Steaks,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
8OZ# RUMP STEAK,No Description,£,15.49,Steaks,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,theunicornromford,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
PRIME CHICKEN WINGS,Choose your sauce: BBQ sauce or peri-peri sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
CHICKEN BREAST GOUJONS,Choose your sauce: Bourbon or Naga hot chilli sauce,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
LOADED TEX MEX SWEETCORN RIBS (V),"Oak-smoked and topped with chunky tomato salsa, guacamole & cheese sauce.",£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
HALLOUMI FRIES (V),With chunky tomato salsa,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
SPICY CRACKERJACK PRAWNS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
GRILLED MEDITERRANEAN VEGETABLES (V)(VE),With a tomato and smoked paprika sauce and soft flatbread.,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
JALEPENO POPPERS (V),"Stuffed with cream cheese, served with a chunky tomato salsa",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
CRISPY CALAMARI STRIPS,With sweet chilli dip,£,5.49,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
POTATO SKINS,Loaded with melted cheese and bacon,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
MIXED GRILL,"A quarter of our rotisserie chicken, 4oz* rump steak, half a gammon steak, a pork sausage, a fried free-range egg and black pudding. Ask about upgrading your steak",£,16.99,Grills,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
ULTIMATE MIXED GRILL,"A quarter portion of our rotisserie chicken, 8oz* rump steak, a half rack of our BBQ-glazed ribs, 7oz* gammon, two pork sausages, two fried free-range eggs and two black pudding slices",£,22.49,Grills,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
7OZ# GAMMON,"Served with chips, onion rings, tomato & peas",£,10.99,Grills,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
14OZ* GAMMON,"With your choice of grilled pineapple or a fried free-range egg. Served with chips, onion rings, tomato & peas.",£,14.49,Grills,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
SMOKED BBQ PORK BELLY,"Smoked pork belly, slow-cooked for four hours, with Spiked maple glaze and served with mash, green beans & gravy",£,15.99,Grills,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
10OZ# SIRLOIN STEAK,No Description,£,17.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
12OZ# RIBEYE STEAK,No Description,£,20.49,Steaks,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
8OZ# RUMP STEAK,No Description,£,14.99,Steaks,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
CHARGRILLED RUMP STEAK,No Description,£,9.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
BUTTERMILK-FRIED CHICKEN,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
CHARGRILLED CAJUN CHICKEN BREAST,No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
GRILLED HALLOUMI (V),No Description,£,7.99,Flatbreads,https:,www.harvester.co.uk,restaurants,london,thebeulahspastreatham,mainmenu#
BREADED MUSHROOMS (V),With garlic mayo dip,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
NACHOS (V),"With cheese sauce, guacamole, salsa, sour cream and jalapeños.",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
Add BBQ Pulled Pork,Add BBQ pulled pork,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
VEGAN NACHOS (VE),"With guacamole, salsa and jalapeños. Add vegan chilli +99p",£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
Add Vegan Chilli (VE),Add vegan chilli,£,0.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
GARLIC BREAD (V),Soft garlic bread topped with garlic & parsley butter. Cheesy garlic bread (V) and vegan option available (VE),£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
Cheesy Garlic Bread (V),Soft garlic bread topped with garlic & parsley butter. Topped with Cheddar cheese,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
Garlic Bread (VE),Soft garlic bread,£,4.99,Starters,https:,www.harvester.co.uk,restaurants,london,thecrookedbilletbromley,mainmenu#
